leaname,localebasis,schoolmeal,enroll,com,food,eerf
Troup County School District,Rural outside CBSA/MSA,4184484,12623,449121,7586,7586
Appling County School District,Small Town,1231565,3537,117332,2261,2261
Atkinson County School District,Rural outside CBSA/MSA,848662,1703,73638,1345,1345
Atlanta City School District,Large City,19400000,48909,1269229,37916,37916
Bacon County School District,Small Town,615197,1869,51746,1157,1157
Baker County School District,Rural inside CBSA/MSA,210917,379,17098,302,302
Baldwin County School District,Small Town,2447141,5447,160167,4068,4068
Banks County School District,Rural outside CBSA/MSA,1044543,2886,67718,1735,1735
Barrow County School District,Urban Fringe of Large City,4108834,12534,358584,6970,6970
Bartow County School District,Rural inside CBSA/MSA,4374960,14661,238788,8267,8267
Ben Hill County School District,Small Town,1453665,3314,30779,2507,2507
Berrien County School District,Small Town,1195650,3212,71737,2147,2147
Bibb County School District,Midsize City,11200000,25109,820793,19239,19239
Bleckley County School District,Small Town,982986,2422,109969,1346,1346
Brantley County School District,Rural inside CBSA/MSA,1424644,3591,157424,2245,2245
Bremen City School District,Urban Fringe of Large City,291575,2048,39918,528,528
Brooks County School District,Urban Fringe of Midsize City,1279315,2361,90506,1879,1879
Bryan County School District,Urban Fringe of Midsize City,1309034,7300,436507,2441,2441
Buford City School District,Urban Fringe of Large City,963437,3077,116612,1570,1570
Bulloch County School District,Small Town,3125369,9476,393669,5403,5403
Burke County School District,Urban Fringe of Midsize City,2740763,4747,265456,3973,3973
Butts County School District,Rural inside CBSA/MSA,1182277,3551,124759,2137,2137
Calhoun City School District,Small Town,1419362,3423,85440,1800,1800
Calhoun County School District,Rural outside CBSA/MSA,389772,669,14573,588,588
Camden County School District,Small Town,2486428,9670,444313,4260,4260
Candler County School District,Small Town,829309,2026,73599,1355,1355
Carroll County School District,Rural inside CBSA/MSA,5110730,14775,504838,8919,8919
Carrollton City School District,Urban Fringe of Large City,1385930,4467,192424,2270,2270
Cartersville City School District,Urban Fringe of Large City,1785945,4026,115903,2093,2093
Catoosa County School District,Urban Fringe of Midsize City,2834626,10770,329875,5127,5127
Charlton County School District,Rural outside CBSA/MSA,638609,1768,46928,1190,1190
Chatham County School District,Midsize City,11700000,34668,551967,24180,24180
Chattahoochee County School District,Rural inside CBSA/MSA,393403,901,16625,571,571
Chattooga County School District,Small Town,1403599,2780,40108,2134,2134
Cherokee County School District,Urban Fringe of Large City,6060546,38293,882724,10684,10684
Chickamauga City School District,Urban Fringe of Midsize City,139811,1338,5200,307,307
Clarke County School District,Midsize City,6045623,12456,469843,9669,9669
Clay County School District,Rural outside CBSA/MSA,233363,324,11482,310,310
Clayton County School District,Urban Fringe of Large City,22300000,50204,1686983,40366,40366
Clinch County School District,Rural outside CBSA/MSA,558941,1422,31739,957,957
Cobb County School District,Urban Fringe of Large City,23000000,107245,2010480,43441,43441
Coffee County School District,Small Town,3421617,7818,209075,5742,5742
Colquitt County School District,Small Town,3950518,9043,238405,6343,6343
Columbia County School District,Urban Fringe of Midsize City,3557749,23328,576656,6834,6834
Commerce City School District,Small Town,556294,1484,43290,850,850
Cook County School District,Small Town,1391510,3339,111124,2322,2322
Coweta County School District,Urban Fringe of Large City,4799040,22560,709758,9045,9045
Crawford County School District,Rural inside CBSA/MSA,890985,1876,77043,1413,1413
Crisp County School District,Rural outside CBSA/MSA,1903180,4388,97648,3248,3248
Dade County School District,Rural inside CBSA/MSA,796474,2502,78677,1334,1334
Dalton City School District,Midsize City,3703229,6836,212575,5148,5148
Dawson County School District,Rural inside CBSA/MSA,856256,3502,77216,1501,1501
Decatur City School District,Urban Fringe of Large City,472524,2875,46240,759,759
Decatur County School District,Small Town,2569352,5687,238788,4017,4017
De Kalb County School District,Urban Fringe of Large City,35400000,99406,4597707,68322,68322
Dodge County School District,Small Town,1604585,3374,146413,2238,2238
Dooly County School District,Rural outside CBSA/MSA,836015,1441,64310,1325,1325
Dougherty School District,Midsize City,8042382,16134,469716,12909,12909
Douglas County School District,Urban Fringe of Large City,8259617,24951,824332,13982,13982
Dublin City School District,Small Town,1424002,2833,91657,2254,2254
Laurens County School District,Rural outside CBSA/MSA,2531457,6656,210914,3859,3859
Early County School District,Small Town,1012581,2390,34510,1808,1808
Echols County School District,Rural inside CBSA/MSA,321646,785,21268,535,535
Effingham County School District,Rural inside CBSA/MSA,2510769,11462,327545,4643,4643
Elbert County School District,Small Town,1463609,3423,95065,2373,2373
Emanuel County School District,Rural outside CBSA/MSA,2084649,4519,191425,3319,3319
Evans County School District,Rural outside CBSA/MSA,931832,1830,129500,1488,1488
Fannin County School District,Rural outside CBSA/MSA,1059667,3099,99995,1822,1822
Fayette County School District,Urban Fringe of Large City,2073286,21727,651093,4433,4433
Floyd County School District,Rural inside CBSA/MSA,3228292,10481,374822,5629,5629
Forsyth County School District,Rural inside CBSA/MSA,3969927,34208,742638,6243,6243
Franklin County School District,Rural outside CBSA/MSA,1101611,3759,66467,2123,2123
Fulton County School District,Urban Fringe of Large City,20000000,90399,2133424,38447,38447
Gainesville City School District,Midsize City,2697583,6502,167605,5031,5031
Gilmer County School District,Rural outside CBSA/MSA,1598893,4186,212717,2705,2705
Glascock County School District,Rural outside CBSA/MSA,194714,651,24206,349,349
Glynn County School District,Midsize City,5249716,12800,300677,6957,6957
Gordon County School District,Rural outside CBSA/MSA,2414425,6902,235445,4129,4129
Grady County School District,Small Town,1827037,4461,170777,2937,2937
Greene County School District,Rural outside CBSA/MSA,1061462,2075,85172,1468,1468
Spalding County School District,Urban Fringe of Large City,4395662,10860,281718,7555,7555
Gwinnett County School District,Urban Fringe of Large City,48500000,159296,1952068,79468,79468
Habersham County School District,Rural outside CBSA/MSA,2374949,6928,178398,3857,3857
Hall County School District,Rural inside CBSA/MSA,9063719,25777,620423,14690,14690
Hancock County School District,Rural outside CBSA/MSA,719871,1231,104941,983,983
Haralson County School District,Rural inside CBSA/MSA,1285257,3823,188502,2264,2264
Harris County School District,Rural inside CBSA/MSA,986449,4891,128012,1681,1681
Hart County School District,Small Town,1192464,3453,107591,2000,2000
Heard County School District,Rural inside CBSA/MSA,751153,2171,100248,1408,1408
Henry County School District,Rural inside CBSA/MSA,9360632,40951,947298,17985,17985
Houston County School District,Midsize City,8768038,26787,903822,13367,13367
Irwin County School District,Small Town,663224,1751,30595,1214,1214
Jackson County School District,Rural outside CBSA/MSA,2396122,7329,220760,3715,3715
